algorithm,ensemble_size,depth,timeout,mean_score,std_score,mean_time,best_score,best_set
BILNMCS,1000,10,10,0.6575599999999999,0.09133173818558366,10.200142621994019,0.8124,"[('CDH1', False), ('DNAdamage', False), ('ECMicroenv', True), ('Metastasis', False), ('SMAD', True), ('TGFbeta', True), ('TWIST1', True), ('miR203', True), ('miR34', False), ('p63', False)]"
NRPA,1000,10,10,0.6373,0.13270957848709425,10.25169734954834,0.7956666666666666,"[('CDH1', False), ('DKK1', False), ('GF', True), ('Metastasis', False), ('Migration', False), ('NICD', True), ('SMAD', True), ('SNAI1', True), ('TGFbeta', True), ('miR203', True)]"
GNRPA,1000,10,10,0.5249666666666667,0.14480258208256436,10.245833587646484,0.728,"[('p21', True), ('SNAI1', False), ('miR200', False), ('DNAdamage', False), ('TWIST1', True), ('Migration', False), ('p73', False), ('ZEB2', True), ('CDH1', False), ('VIM', True)]"
NMCS,1000,4,30,0.5886333333333333,0.04713065763267986,30.193761110305786,0.6636666666666664,"[('AKT1', True), ('CTNNB1', True), ('TWIST1', True), ('miR203', False)]"
LNMCS,1000,4,30,0.6327,0.04523235076309387,30.178349781036378,0.6959999999999998,"[('AKT2', True), ('CTNNB1', True), ('ECMicroenv', True), ('TWIST1', True)]"
BILNMCS,1000,4,30,0.6692400000000001,0.06399436225168588,30.19435646533966,0.7943999999999999,"[('CTNNB1', True), ('SNAI1', True), ('SNAI2', True), ('TGFbeta', True)]"
NRPA,1000,4,30,0.6517666666666666,0.09283151404560852,30.302957677841185,0.8386666666666667,"[('CTNNB1', True), ('NICD', True), ('SMAD', True), ('SNAI1', True)]"
GNRPA,1000,4,30,0.6335666666666666,0.057443121626720675,30.10760154724121,0.7169999999999999,"[('SMAD', True), ('TWIST1', True), ('DNAdamage', False), ('p21', True)]"
NMCS,1000,5,30,0.6256999999999999,0.03826064122132132,30.249906921386717,0.6886666666666666,"[('AKT1', True), ('CTNNB1', True), ('NICD', True), ('TGFbeta', True), ('p73', False)]"
LNMCS,1000,5,30,0.6441333333333334,0.04254440817154081,30.193318009376526,0.7103333333333335,"[('CTNNB1', True), ('NICD', True), ('SMAD', True), ('VIM', True), ('p21', True)]"
BILNMCS,1000,5,30,0.70136,0.05640714848314885,30.079107236862182,0.7672,"[('CTNNB1', True), ('DNAdamage', False), ('NICD', True), ('miR203', False), ('p21', True)]"
NRPA,1000,5,30,0.6682,0.0663243209958124,30.172416472434996,0.7776666666666666,"[('CDH2', True), ('CTNNB1', True), ('DNAdamage', False), ('NICD', True), ('TGFbeta', True)]"
