M,n,R,V_emp,V_wc,tight_wc,cov_wc,sample_mean,sample_std
20,10,10,0.0030988888888888884,0.01375,4.437074220150592,1,0.246,0.05566766466171262
20,50,10,0.0014316111111111116,0.012750000000000001,8.906049904924519,1,0.26149999999999995,0.03783663715383691
20,100,10,0.0038667333333333356,0.012625,3.2650299132773557,1,0.25880000000000003,0.06218306307454897
20,200,10,0.004201489583333332,0.0125625,2.9900109832078416,1,0.251375,0.06481889835019825
100,10,10,0.0005018222222222233,0.00275,5.480028341156661,1,0.2674,0.022401388845833273
100,50,10,0.0004007933333333335,0.00255,6.362381277133682,1,0.24669999999999997,0.020019823509045565
100,100,10,0.0007323667777777774,0.002525,3.447726025560054,1,0.25833000000000006,0.0270622759164446
100,200,10,0.0006067128888888888,0.0025125,4.141167998921694,1,0.23673000000000002,0.024631542560077085
200,10,10,0.00023989166666666664,0.001375,5.73175391669851,1,0.2556500000000001,0.015488436546878018
200,50,10,0.0001517617777777776,0.001275,8.401324883443067,1,0.2580200000000001,0.012319163030732957
200,100,10,0.00013540555555555518,0.0012625,9.323841956263104,1,0.25234999999999996,0.011636389283431317
200,200,10,5.944906249999993e-05,0.00125625,21.131535926239398,1,0.24316250000000003,0.0077103218155923905
500,10,10,0.00010407111111111145,0.00055,5.284847967201896,1,0.2447999999999999,0.010201524940473923
500,50,10,0.0001162161955555554,0.00051,4.388372873178439,1,0.24994800000000006,0.010780361568869358
500,100,10,4.0288715555555575e-05,0.000505,12.534527175571958,1,0.25299400000000005,0.006347339250076017
500,200,10,9.352393777777872e-05,0.0005025,5.372955971913685,1,0.24671600000000002,0.009670777516713882
700,10,10,0.000244070068027207,0.0003928571428571429,1.6096080360552456,1,0.25544285714285686,0.01562274201371856
700,50,10,9.213867573696273e-05,0.0003642857142857143,3.953667787951243,1,0.24760285714285715,0.009598889297046963
700,100,10,0.0001051486258503407,0.0003607142857142857,3.430518304896297,1,0.24878000000000006,0.010254200400340375
700,200,10,0.00020362821088435644,0.0003589285714285714,1.762666233081095,1,0.24918857142857137,0.014269835699276865
